異動,藥品代號,藥品英文名稱,藥品中文名稱,成分,劑量,規格,單複方,支付價,有效起日,有效迄日,藥商,廠商,製造廠名稱,劑型,藥品分類,分類分組名稱,ATC代碼,給付規定章節,2023年數量,2023年數量(含包裹),2024年數量,2024年數量(含包裹),2025年數量,2025年數量(含包裹),2026年(1-6月)數量,2026年(1-6月)數量(含包裹),藥品代碼超連結,給付規定章節連結
,A000541100,"Ampicillin Capsules ""Y.Y.""",安比西林膠囊,Ampicillin,250mg,,單方,0,1010601,9991231,應元化學製藥股份有限公司,應元,應元化學製藥股份有限公司,膠囊劑,一般學名藥,"Ampicillin,一般錠劑膠囊劑,250mg",J01CA01,10.1.,0,45,0,27,0,48,0,12,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000541,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf
,A000542100,"Erythromycin Capsules ""Lin Chemical""",紅絲菌素膠囊,Erythromycin,250mg,,單方,0,1020501,9991231,大安化學製藥股份有限公司,大安,臺灣派頓化學製藥股份有限公司,膠囊劑,一般學名藥,"Erythromycin,一般錠劑膠囊劑,250mg",J01FA01,"10.1.,10.4.",0,21,0,0,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000542,"https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.4._20220301.pdf"
,A000543355,Flucort Cream 0.025％,膚潤康乳膏０．０２５％,Fluocinolone,0.25mg/gm,100gm,單方,0,890401,9991231,台灣田邊製藥股份有限公司,台田,台灣田邊製藥股份有限公司新竹廠,乳膏劑,研發廠,"Fluocinolone,外用軟膏劑,0.25mg/gm,100gm",D07AC04,,0,0,0,0,0,1,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000543,
,A000572100,Prowel S.C.Tablets,保胃糖衣片,Metoclopramide,5mg,,單方,0,1040901,9991231,中國化學製藥股份有限公司新豐工廠,中化,中國化學製藥股份有限公司新豐工廠,糖衣錠,一般學名藥,"Metoclopramide,一般錠劑膠囊劑,3.84-5.00 Mg",A03FA01,7.1.,0,5752,0,2754,0,2158.3,0,1749.6,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000572,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=7.1._20240801.pdf
,A000575100,Paramesone Tablets 2mg,百樂爽錠２公絲,Paramethasone,2mg,,單方,0,940401,9991231,台灣田邊製藥股份有限公司新竹廠,台田,台灣田邊製藥股份有限公司新竹廠,錠劑,一般學名藥,"Paramethasone,一般錠劑膠囊劑,2mg",H02AB05,,0,0,0,15,0,841,0,48,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000575,
,A000582221,Fubanol Injection,膚百諾注射液,Biotin 100mcg/ml+Chlorpheniramine 0.6mg/ml+Glycyrrhizic Acid 2mg/ml+Vitamin B2 2mg/ml+Vitamin B6 2mg/ml,,5ml,複方,0,1090201,9991231,國信藥品股份有限公司,國信,壽元化學工業股份有限公司,注射劑,一般學名藥,"Chlorpheniramine 0.6mg/ml+Vitamin B2 2mg/ml+Vitamin B6 2mg/ml+Biotin 100mcg/ml+Glycyrrhizic Acid 2mg/ml,注射劑,5ml",R06AB54,,0,238,0,171.5,0,135.8,0,151.4,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000582,
,A000587100,Vibramycin Capsules 50mg,偉霸黴素膠囊５０公絲,Doxycycline,50mg,,單方,0,890401,9991231,輝瑞大藥廠股份有限公司,輝瑞,輝瑞大藥廠股份有限公司淡水廠,膠囊劑,研發廠,"Doxycycline,一般錠劑膠囊劑,50mg",J01AA02,10.1.,0,0,0,104,0,394,0,104,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000587,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf
,A000604151,Codcan Syrup ''Center'',''晟德'' 咳康糖漿,Dextromethorphan 2.5mg/ml+Potassium Cresolsulfonate 15mg/ml,,60ml,複方,29.7,1110101,9991231,晟德大藥廠股份有限公司,晟德,晟德大藥廠股份有限公司新竹廠,糖漿劑,一般學名藥,"Dextromethorphan 2.5mg/ml+Potassium Cresolsulfonate 15mg/ml,內服液劑,60ml",R05FA02,,13386.5,15887,3467.3,4218.3,941,1486.3,523,1005,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000604,
,A000647100,Cytadine 2mg Tablets(Cyproheptadine),"""生達""喜達鎮２公絲錠（塞浦希他定）",Cyproheptadine,2mg,,單方,0,1080701,9991231,生達化學製藥股份有限公司,生達,生達化學製藥股份有限公司,錠劑,一般學名藥,"Cyproheptadine,一般錠劑膠囊劑,2mg",R06AX02,,0,880,0,289.5,0,1194.2,0,746.5,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000647,
,A000706109,Peptidin Granules,培普鎮顆粒,Homatropine 2mg/gm+Magaldrate 400mg/gm+Magnesium Trisilicate 300mg/gm,,1gm,複方,0,1010101,9991231,生達化學製藥股份有限公司,生達,生達化學製藥股份有限公司,內服顆粒劑,一般學名藥,"Homatropine 2mg/gm+Magaldrate 400mg/gm+Magnesium Trisilicate 300mg/gm,口服顆粒劑,1gm",A02AG,7.1.,14,31,0,0,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000706,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=7.1._20240801.pdf
